model,delay_len,noise_write_ratio,max_mem,expected_non_source_writes,expected_boundary,acc_mean,acc_std,num_seeds
gated,80,0.75,79,61,81,0.899947333233697,0.024135464323107078,7
gated,80,0.75,80,61,81,0.9549464400666101,0.017691532043258414,7
gated,80,0.75,81,61,81,0.9894160775457109,0.017802242214009757,7
gated,80,0.75,82,61,81,0.9894160775457109,0.017802242214009757,7
gated,80,0.75,83,61,81,0.9894160775457109,0.017802242214009757,7
gated,80,0.75,91,61,81,0.9894160775457109,0.017802242214009757,7
gated,80,0.75,101,61,81,0.9894160775457109,0.017802242214009757,7
gated,80,1.0,10,81,101,0.050427679455173846,0.0004674963627993877,7
gated,80,1.0,20,81,101,0.050419643736045246,0.0005118572058278641,7
gated,80,1.0,99,81,101,0.900225905094828,0.028142834176308144,7
gated,80,1.0,100,81,101,0.9384053689411708,0.025820194628532873,7
gated,80,1.0,101,81,101,0.9961008985042572,0.0005674130895593344,7
gated,80,1.0,102,81,101,0.9961008985042572,0.0005674130895593344,7
gated,80,1.0,103,81,101,0.9961008985042572,0.0005674130895593344,7
gated,80,1.0,111,81,101,0.9961008985042572,0.0005674130895593344,7
gated,80,1.0,121,81,101,0.9961008985042572,0.0005674130895593344,7
naive,20,0.0,10,1,21,0.5381642972656658,0.014101128407864915,7
naive,20,0.0,19,1,21,0.8513160828522273,0.06464335943491016,7
naive,20,0.0,20,1,21,0.8782017973491124,0.06808603254297514,7
naive,20,0.0,21,1,21,0.8511017977339881,0.08125434369988038,7
naive,20,0.0,22,1,21,0.8511017977339881,0.08125434369988038,7
naive,20,0.0,23,1,21,0.8511017977339881,0.08125434369988038,7
naive,20,0.0,31,1,21,0.8511017977339881,0.08125434369988038,7
naive,20,0.0,41,1,21,0.8511017977339881,0.08125434369988038,7
naive,20,0.25,10,6,26,0.3124098273302827,0.0441364547756817,7
naive,20,0.25,20,6,26,0.9298973327364239,0.049410046483037685,7
naive,20,0.25,24,6,26,0.8905741191250938,0.015569411095615264,7
naive,20,0.25,25,6,26,0.9010044761385236,0.001302779165792077,7
naive,20,0.25,26,6,26,0.9485330467564719,0.0016832569954189933,7
naive,20,0.25,27,6,26,0.9485330467564719,0.0016832569954189933,7
naive,20,0.25,28,6,26,0.9485330467564719,0.0016832569954189933,7
naive,20,0.25,36,6,26,0.9485330467564719,0.0016832569954189933,7
naive,20,0.25,46,6,26,0.9485330467564719,0.0016832569954189933,7
naive,20,0.5,10,11,31,0.24726964701499252,0.1092319344867442,7
naive,20,0.5,20,11,31,0.6877910838212287,0.08326006598218347,7
naive,20,0.5,29,11,31,0.9298634051084519,0.02377152285315309,7
naive,20,0.5,30,11,31,0.934505368913923,0.023417407253887655,7
naive,20,0.5,31,11,31,0.9814044731514794,0.023148703965193463,7
naive,20,0.5,32,11,31,0.9814044731514794,0.023148703965193463,7
naive,20,0.5,33,11,31,0.9814044731514794,0.023148703965193463,7
naive,20,0.5,41,11,31,0.9814044731514794,0.023148703965193463,7
naive,20,0.5,51,11,31,0.9814044731514794,0.023148703965193463,7
naive,20,0.75,10,16,36,0.11160893011944628,0.004310758835263317,7
naive,20,0.75,20,16,36,0.32207589864730835,0.032375471655974875,7
naive,20,0.75,34,16,36,0.8986348338297435,0.037863678074440625,7
naive,20,0.75,35,16,36,0.9089160833699362,0.057687339879633974,7
naive,20,0.75,36,16,36,0.9540223331792015,0.03130444552140227,7
naive,20,0.75,37,16,36,0.9540223331792015,0.03130444552140227,7
naive,20,0.75,38,16,36,0.9540223331792015,0.03130444552140227,7
naive,20,0.75,46,16,36,0.9540223331792015,0.03130444552140227,7
naive,20,0.75,56,16,36,0.9540223331792015,0.03130444552140227,7
naive,20,1.0,10,21,41,0.04995803663054742,0.0003644472959924011,7
naive,20,1.0,20,21,41,0.24736786173922673,0.09661791562700442,7
naive,20,1.0,39,21,41,0.8797321547610419,0.04504036741726637,7
naive,20,1.0,40,21,41,0.9046241182770048,0.04857342831767908,7
naive,20,1.0,41,21,41,0.9554669733388083,0.04210013385231004,7
naive,20,1.0,42,21,41,0.9554669733388083,0.04210013385231004,7
naive,20,1.0,43,21,41,0.9554669733388083,0.04210013385231004,7
naive,20,1.0,51,21,41,0.9554669733388083,0.04210013385231004,7
naive,20,1.0,61,21,41,0.9554669733388083,0.04210013385231004,7
naive,40,0.0,10,1,21,0.5345392973763602,0.009540688790245888,7
naive,40,0.0,19,1,21,0.8815750122410911,0.02287268165814509,7
naive,40,0.0,20,1,21,0.8602250121150697,0.06963469556449454,7
naive,40,0.0,21,1,21,0.9288660818508693,0.07452360753732344,7
naive,40,0.0,22,1,21,0.9288660818508693,0.07452360753732344,7
naive,40,0.0,23,1,21,0.9288660818508693,0.07452360753732344,7
naive,40,0.0,31,1,21,0.9288660818508693,0.07452360753732344,7
naive,40,0.0,41,1,21,0.9288660818508693,0.07452360753732344,7
naive,40,0.25,10,11,31,0.2977928619597639,0.1063920284172927,7
naive,40,0.25,20,11,31,0.7019535837173462,0.09075661913561914,7
naive,40,0.25,29,11,31,0.9378562623432705,0.018664805163650322,7
naive,40,0.25,30,11,31,0.9347973333426883,0.024471692191982825,7
naive,40,0.25,31,11,31,0.9826759004252298,0.022854837594757014,7
naive,40,0.25,32,11,31,0.9826759004252298,0.022854837594757014,7
naive,40,0.25,33,11,31,0.9826759004252298,0.022854837594757014,7
naive,40,0.25,41,11,31,0.9826759004252298,0.022854837594757014,7
naive,40,0.25,51,11,31,0.9826759004252298,0.022854837594757014,7
naive,40,0.5,10,21,41,0.04987410799067996,0.0006071452700456263,7
naive,40,0.5,20,21,41,0.24362589732451095,0.09590611254230784,7
naive,40,0.5,39,21,41,0.9247312621389117,0.02343693457791287,7
naive,40,0.5,40,21,41,0.9418062611648015,0.017283983881706787,7
naive,40,0.5,41,21,41,0.9894741134643554,0.017325548178090646,7
naive,40,0.5,42,21,41,0.9894741134643554,0.017325548178090646,7
