acc_best,acc_last,acc_mean_tail,acc_std_tail,delay_len,eval_tail,expected_boundary,loss_best,loss_mean_tail,loss_std_tail,mask_mode,max_mem,model,noise_write_budget,phase,seed,task,theoretical_retained_source,theoretical_source_retention_ratio,window_size,write_mode
0.9125000238418579,0.887499988079071,0.8753500118255615,0.010586076875353212,80,500,101,0.15475574135780334,0.20461037933826445,0.015732050635287955,forced,111,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,prefix-all
0.9125000238418579,0.887499988079071,0.8753500118255615,0.010586076875353212,80,500,101,0.15475574135780334,0.20461037933826445,0.015732050635287955,forced,121,naive,,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,prefix-all
1.0,1.0,0.9998874995708465,0.0005821587718607545,80,500,20,1.0738849596236832e-05,0.0005986576689356298,0.0021549642257820195,forced,20,naive,0,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,source-pinned-noise-fifo
1.0,1.0,0.9996125000715256,0.0013133305939334024,80,500,20,1.4495631148747634e-05,0.0024101364546240804,0.006903362944067193,forced,40,naive,20,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,source-pinned-noise-fifo
1.0,1.0,0.9994312496185302,0.0015209330305049073,80,500,20,1.4393753190233838e-05,0.0030635922283472608,0.008655326715458593,forced,60,naive,40,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,source-pinned-noise-fifo
1.0,1.0,0.9998062497377396,0.0008957144008364784,80,500,20,1.6588928701821715e-05,0.0009008527526821127,0.0033119022776077044,forced,100,naive,80,expD_symbolic_kv,0,symbolic_key_value_retrieval,20,1.0,8,source-pinned-noise-fifo
0.8125,0.7906250357627869,0.7710937622785569,0.010688916345016366,20,500,20,0.44581788778305054,0.5207477367520332,0.01962504735253496,forced,10,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,10,0.5,8,source-only
0.949999988079071,0.909375011920929,0.9189437592029571,0.007772493589646219,20,500,20,0.10177606344223022,0.14134472881257534,0.010042633821916828,forced,15,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,15,0.75,8,source-only
1.0,1.0,0.9999124999046326,0.0005864349369669448,20,500,20,8.54804693517508e-06,0.0004321371292535332,0.0020791954801762567,forced,20,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,20,1.0,8,source-only
1.0,1.0,0.9999124999046326,0.0005864349369669448,20,500,20,8.54804693517508e-06,0.0004321371292535332,0.0020791954801762567,forced,25,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,20,1.0,8,source-only
