model,write_mode,delay_len,max_mem,eval_acc_mean,eval_acc_std,acc_mean_tail_mean,acc_mean_tail_std,source_survival_rate_mean,source_survival_rate_std,attn_mass_source_mean,attn_mass_source_std,attn_mass_noise_mean,attn_mass_noise_std,attn_mass_sep_mean,attn_mass_sep_std,attn_mass_other_mean,attn_mass_other_std,attn_entropy_mean,attn_entropy_std,mem_source_entries_mean,mem_source_entries_std,mem_noise_entries_mean,mem_noise_entries_std,mem_sep_entries_mean,mem_sep_entries_std,eval_error_rate_mean,eval_error_rate_std,err_sep_rate_mean,err_sep_rate_std,err_source_only_rate_mean,err_source_only_rate_std,err_noise_only_rate_mean,err_noise_only_rate_std,err_both_source_and_noise_rate_mean,err_both_source_and_noise_rate_std,err_other_rate_mean,err_other_rate_std
gated,source-pinned-noise-fifo,80,40,0.9999720981078488,7.382146774007386e-05,0.9963973259244646,0.0007781661875110897,1.0,0.0,0.999721422791481,0.0006832766059639936,0.0002785992002348555,0.0006832713159782411,0.0,0.0,0.0,0.0,0.03932910427517651,0.01063367529877637,20.0,0.0,20.0,0.0,0.0,0.0,2.7901785714285717e-05,7.38211861346147e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.023622779563076703,0.0,0.0
gated,source-pinned-noise-fifo,80,60,1.0,0.0,0.9958660776444843,0.00036945216238106724,1.0,0.0,0.9999899683254105,1.621074608038817e-05,1.0058386122478527e-05,1.6207652979653322e-05,0.0,0.0,0.0,0.0,0.0455476763724748,0.008261501587797425,20.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gated,source-pinned-noise-fifo,80,80,0.9999441962156977,0.00014764293548013096,0.9960321484122959,0.0006616566385481334,1.0,0.0,0.9999817950384957,1.694039031186908e-05,1.823545310587958e-05,1.6936370241329686e-05,0.0,0.0,0.0,0.0,0.052171326841094615,0.00932851338453747,20.0,0.0,60.0,0.0,0.0,0.0,5.5803571428571434e-05,0.0001476423722692294,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.04724555912615341,0.0,0.0
gated,source-pinned-noise-fifo,80,100,0.9999720981078488,7.382146774005079e-05,0.9955982208933148,0.0009280736382956913,1.0,0.0,0.9214742220938206,0.11485111166614238,0.07852580787998217,0.1148511099753006,0.0,0.0,0.0,0.0,0.06645087265808665,0.03132228765161153,20.0,0.0,80.0,0.0,0.0,0.0,2.7901785714285717e-05,7.38211861346147e-05,0.0,0.0,0.008928571428571428,0.023622779563076703,0.0,0.0,0.0,0.0,0.0,0.0
naive,prefix-all,40,50,0.6845982239714691,0.11185010075804565,0.6664339397975377,0.10494173970402058,0.45,0.0,0.7208216216947351,0.056339040455521495,0.17903389359240202,0.08587000278469141,0.10014449675301351,0.04085053260376066,0.0,0.0,0.0882315760744469,0.10176390541701039,9.0,0.0,40.0,0.0,1.0,0.0,0.31540178571428573,0.11185010060083889,0.0,0.0,0.129858476634559,0.009668965310493707,0.0,0.0,0.870141523365441,0.009668965310493695,0.0,0.0
naive,prefix-all,40,60,0.9247209924672332,0.036551599306315304,0.9093116187027522,0.030840928790388106,0.95,0.0,0.6922717275364059,0.018939499838808764,0.22875678432839255,0.03927225161547234,0.07897150639577631,0.026798972878705345,0.0,0.0,0.16622770617582966,0.03745968760708409,19.0,0.0,40.0,0.0,1.0,0.0,0.07527901785714285,0.036551601973338135,0.0,0.0,0.13420421037834104,0.02138586928875425,0.0,0.0,0.8657957896216589,0.021385869288754245,0.0,0.0
naive,prefix-all,40,61,0.9794642877365861,0.0376363012953422,0.9760883998359953,0.03679022539503329,1.0,0.0,0.6788901473794665,0.02721430131084253,0.2639122804892914,0.038338923869172065,0.05719759561387553,0.018925006957610593,0.0,0.0,0.10151393877874523,0.039316041448008175,20.0,0.0,40.0,0.0,1.0,0.0,0.020535714285714286,0.037636306326430995,0.0,0.0,0.04071324090749268,0.06956781094538442,0.0,0.0,0.2807153305210787,0.399606161860844,0.0,0.0
naive,prefix-all,40,62,0.9794642877365861,0.0376363012953422,0.9760883998359953,0.03679022539503329,1.0,0.0,0.6788901473794665,0.02721430131084253,0.2639122804892914,0.038338923869172065,0.05719759561387553,0.018925006957610593,0.0,0.0,0.10151393877874523,0.039316041448008175,20.0,0.0,40.0,0.0,1.0,0.0,0.020535714285714286,0.037636306326430995,0.0,0.0,0.04071324090749268,0.06956781094538442,0.0,0.0,0.2807153305210787,0.399606161860844,0.0,0.0
naive,prefix-all,40,70,0.9794642877365861,0.0376363012953422,0.9760883998359953,0.03679022539503329,1.0,0.0,0.6788901473794665,0.02721430131084253,0.2639122804892914,0.038338923869172065,0.05719759561387553,0.018925006957610593,0.0,0.0,0.10151393877874523,0.039316041448008175,20.0,0.0,40.0,0.0,1.0,0.0,0.020535714285714286,0.037636306326430995,0.0,0.0,0.04071324090749268,0.06956781094538442,0.0,0.0,0.2807153305210787,0.399606161860844,0.0,0.0
naive,prefix-all,80,80,0.11121652015884002,0.07485981730605237,0.08125892996282445,0.04571310358056985,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.3650201495204652,0.7735845931332777,0.0,0.0,80.0,0.0,0.0,0.0,0.8887834821428572,0.07485981510264005,0.0,0.0,0.012899670073020357,0.004965795142678479,0.207298262706906,0.07960593021245542,0.7766134353626868,0.07576461084292291,0.0031886318573867145,0.003057514450320301
