acc_best,acc_last,acc_mean_tail,acc_std_tail,attn_entropy,attn_mass_noise,attn_mass_other,attn_mass_sep,attn_mass_source,delay_len,err_both_source_and_noise,err_both_source_and_noise_rate,err_noise_only,err_noise_only_rate,err_other,err_other_rate,err_sep,err_sep_rate,err_source_only,err_source_only_rate,eval_acc,eval_batches,eval_correct_tokens,eval_error_rate,eval_tail,eval_total_tokens,eval_wrong_tokens,gate_max,gate_mean,gate_min,loss_best,loss_mean_tail,loss_std_tail,mask_mode,max_mem,mem_entries_total,mem_noise_entries,mem_sep_entries,mem_source_entries,model,num_steps,phase,run_mode,seed,source_survival_rate,window_size,write_mode
1.0,0.9906250238418579,0.9958187551498413,0.004396985334771074,0.038245099829509854,0.0,0.0,0.0,1.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,0.9999998807907104,0.9994028434157372,0.9964211508631706,0.0012534024426713586,0.02115551559184678,0.01973841088140431,forced,20,20,0,0,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,source-only
1.0,0.9906250238418579,0.9958187551498413,0.004396985334771074,0.038245099829509854,0.0,0.0,0.0,1.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,0.9999998807907104,0.9994028434157372,0.9964211508631706,0.0012534024426713586,0.02115551559184678,0.01973841088140431,forced,25,20,0,0,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,source-only
1.0,0.9906250238418579,0.9958187551498413,0.004396985334771074,0.038245099829509854,0.0,0.0,0.0,1.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,0.9999998807907104,0.9994028434157372,0.9964211508631706,0.0012534024426713586,0.02115551559184678,0.01973841088140431,forced,30,20,0,0,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,source-only
0.793749988079071,0.778124988079071,0.7661062617301941,0.007971065993045104,0.009585418447386473,0.25005154870450497,0.0,0.05002554529346526,0.6999229304492474,40,64.25,0.8841158857411671,0.0,0.0,0.0,0.0,0.0,0.0,8.4375,0.11588411425883309,0.772851575165987,16,247.3125,0.22714843750000002,500,320.0,72.6875,1.0,0.9941941983997822,0.9605898559093475,0.47283831238746643,0.5431010953187942,0.021673242729175472,forced,50,50,40,1,9,gated,3001,expB_memory_diagnostics,main,0,0.45,8,prefix-all
0.981249988079071,0.965624988079071,0.96155626142025,0.008598461500913021,0.12921276316046715,0.26427516527473927,0.0,0.035749584436416626,0.6999752894043922,40,2.5,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.12499999999999999,0.9906250201165676,16,317.0,0.009375000000000001,500,320.0,3.0,1.0,0.9992740713059902,0.9943349361419678,0.054652780294418335,0.09648223367333413,0.019203825251687623,forced,60,60,40,1,19,gated,3001,expB_memory_diagnostics,main,0,0.95,8,prefix-all
1.0,1.0,0.996937503695488,0.0029836691501522314,0.10154771711677313,0.24961079936474562,0.0,0.0500155386980623,0.7003736793994904,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,1.0,0.9995028600096703,0.9974483586847782,0.002179522067308426,0.015914834244176744,0.01234031160359533,forced,61,61,40,1,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,prefix-all
1.0,1.0,0.996937503695488,0.0029836691501522314,0.10154771711677313,0.24961079936474562,0.0,0.0500155386980623,0.7003736793994904,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,1.0,0.9995028600096703,0.9974483586847782,0.002179522067308426,0.015914834244176744,0.01234031160359533,forced,62,61,40,1,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,prefix-all
1.0,1.0,0.996937503695488,0.0029836691501522314,0.10154771711677313,0.24961079936474562,0.0,0.0500155386980623,0.7003736793994904,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,1.0,0.9995028600096703,0.9974483586847782,0.002179522067308426,0.015914834244176744,0.01234031160359533,forced,70,61,40,1,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,prefix-all
1.0,0.9906250238418579,0.9958187551498413,0.004396985334771074,0.038245099829509854,0.0,0.0,0.0,1.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,0.9999998807907104,0.9994028434157372,0.9964211508631706,0.0012534024426713586,0.02115551559184678,0.01973841088140431,forced,20,20,0,0,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,source-pinned-noise-fifo
1.0,1.0,0.9971250032186508,0.0031770573266246133,0.028280398692004383,4.853167681062587e-06,0.0,0.0,0.9999951794743538,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,1.0,0.9994708001613617,0.9970992803573608,0.0020442150998860598,0.01589441084768623,0.014519401819020098,forced,25,25,5,0,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,source-pinned-noise-fifo
1.0,1.0,0.9966000055074692,0.0035633892519309645,0.0378109838347882,4.02872207416749e-06,0.0,0.0,0.9999959953129292,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,1.0,0.9998873881995678,0.9991325736045837,0.002543474081903696,0.018133142676670103,0.017235831692440803,forced,30,30,10,0,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,source-pinned-noise-fifo
1.0,0.9906250238418579,0.9961812545061112,0.004089703531714794,0.029498868505470455,1.267768951151993e-06,0.0,0.0,0.9999987594783306,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,1.0,0.999610673636198,0.9973480477929115,0.002115075709298253,0.019540609060786664,0.017101327498867246,forced,40,40,20,0,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,source-pinned-noise-fifo
1.0,0.9906250238418579,0.9966000044345855,0.0034689595010133894,0.060727326199412346,3.6833440162808984e-05,0.0,0.0,0.9999632090330124,40,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996093735098839,16,319.875,0.000390625,500,320.0,0.125,1.0,0.999245896935463,0.9912648089230061,0.0022856572177261114,0.017348694499116392,0.014270484968728294,forced,60,60,40,0,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,source-pinned-noise-fifo
1.0,0.9906250238418579,0.9966000044345855,0.0034689595010133894,0.060727326199412346,3.6833440162808984e-05,0.0,0.0,0.9999632090330124,40,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996093735098839,16,319.875,0.000390625,500,320.0,0.125,1.0,0.999245896935463,0.9912648089230061,0.0022856572177261114,0.017348694499116392,0.014270484968728294,forced,80,60,40,0,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,source-pinned-noise-fifo
1.0,0.9906250238418579,0.9966000044345855,0.0034689595010133894,0.060727326199412346,3.6833440162808984e-05,0.0,0.0,0.9999632090330124,40,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996093735098839,16,319.875,0.000390625,500,320.0,0.125,1.0,0.999245896935463,0.9912648089230061,0.0022856572177261114,0.017348694499116392,0.014270484968728294,forced,100,60,40,0,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,source-pinned-noise-fifo
0.578125,0.518750011920929,0.5301812611818314,0.010876184035222544,0.01650529948528856,0.0,0.0,0.0,1.0,80,147.25,0.9881560986221015,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.011843901377898586,0.534375011920929,16,171.0,0.465625,500,320.0,149.0,0.9999949410557747,0.9981387369334698,0.9902811236679554,0.8818073272705078,0.9490215507745743,0.024290301844340813,forced,10,10,0,0,10,gated,3001,expB_memory_diagnostics,main,0,0.5,8,source-only
0.793749988079071,0.765625,0.7629312628507614,0.008193792984445695,0.03069216280709952,0.0,0.0,0.0,1.0,80,74.1875,0.9874985182550972,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.012501481744902797,0.7652343884110451,16,244.875,0.23476562500000003,500,320.0,75.125,0.9999994039535522,0.99898611754179,0.9924799054861069,0.3954550623893738,0.46393735373020173,0.02058498271756679,forced,15,15,0,0,15,gated,3001,expB_memory_diagnostics,main,0,0.75,8,source-only
1.0,1.0,0.9959312559366226,0.00387649794544167,0.03604382951743901,0.0,0.0,0.0,1.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,0.9999994337558746,0.999279297888279,0.9973153471946716,0.0024647568352520466,0.021810525899752974,0.018258363314924784,forced,20,20,0,0,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,source-only
1.0,1.0,0.9959312559366226,0.00387649794544167,0.03604382951743901,0.0,0.0,0.0,1.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,320.0,0.0,500,320.0,0.0,0.9999994337558746,0.999279297888279,0.9973153471946716,0.0024647568352520466,0.021810525899752974,0.018258363314924784,forced,25,20,0,0,20,gated,3001,expB_memory_diagnostics,main,0,1.0,8,source-only
