model,write_mode,delay_len,max_mem,metric,mean,std,min,max,n_seeds
gated,prefix-all,80,80,attn_mass_source,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,80,err_both_source_and_noise_rate,0.7157386077436937,0.06440061391676018,0.6025406776362826,0.8157295895449229,7
gated,prefix-all,80,80,err_noise_only_rate,0.2708500502205435,0.06453722561759727,0.1696141324259435,0.3779066296305051,7
gated,prefix-all,80,80,err_other_rate,0.004779124606398742,0.003039612127107018,0.0,0.0088210479047591,7
gated,prefix-all,80,80,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,80,err_source_only_rate,0.00863221742936397,0.003918834040966601,0.0035743208232408,0.0127530363420829,7
gated,prefix-all,80,80,eval_acc,0.19048549474350038,0.0991118564959272,0.1056640646420419,0.3361328169703483,7
gated,prefix-all,80,80,eval_error_rate,0.8095145089285715,0.09911185457541476,0.6638671875,0.8943359375000002,7
gated,prefix-all,80,80,mem_noise_entries,80.0,0.0,80.0,80.0,7
gated,prefix-all,80,80,mem_sep_entries,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,80,mem_source_entries,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,80,source_survival_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,100,acc_mean_tail,0.9384053689411708,0.025820194628532873,0.9080000120401382,0.9710812621116638,7
gated,prefix-all,80,100,attn_entropy,0.13216491735407282,0.028344247178506303,0.0907879117876291,0.1610167799517512,7
gated,prefix-all,80,100,attn_mass_noise,0.17640571509088784,0.036167264741562934,0.1002335716038942,0.2000258974730968,7
gated,prefix-all,80,100,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,100,attn_mass_sep,0.07857117888384625,0.026575249216163787,0.0491853486746549,0.1000515758059918,7
gated,prefix-all,80,100,attn_mass_source,0.7450231287096228,0.050617955929576186,0.7001065313816071,0.8484905324876308,7
gated,prefix-all,80,100,err_both_source_and_noise_rate,0.9264342250057919,0.1353166595569703,0.625,1.0,7
gated,prefix-all,80,100,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,100,err_other_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,100,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,100,err_source_only_rate,0.019994346422779613,0.019876747945411315,0.0,0.0625,7
gated,prefix-all,80,100,eval_acc,0.964481038174459,0.026582461626050585,0.9382812567055224,0.995703123509884,7
gated,prefix-all,80,100,eval_error_rate,0.03551897321428564,0.026582461424675227,0.0042968749999999,0.0617187499999999,7
gated,prefix-all,80,100,mem_noise_entries,80.0,0.0,80.0,80.0,7
gated,prefix-all,80,100,mem_sep_entries,1.0,0.0,1.0,1.0,7
gated,prefix-all,80,100,mem_source_entries,19.0,0.0,19.0,19.0,7
gated,prefix-all,80,100,source_survival_rate,0.95,0.0,0.95,0.95,7
gated,prefix-all,80,101,acc_mean_tail,0.9961008985042572,0.0005674130895593344,0.9952437579631804,0.9968437546491624,7
gated,prefix-all,80,101,attn_entropy,0.07857338954428474,0.030148407717840314,0.0442305041942745,0.1371150212362408,7
gated,prefix-all,80,101,attn_mass_noise,0.27421013452112675,0.025099109756189057,0.243758893571794,0.3003499805927276,7
gated,prefix-all,80,101,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,101,attn_mass_sep,0.04609169932414906,0.007415335996316293,0.0309290121076628,0.05026201531291,7
gated,prefix-all,80,101,attn_mass_source,0.6796981926475253,0.027656869012917046,0.6496556289494038,0.7062143795192242,7
gated,prefix-all,80,101,err_both_source_and_noise_rate,0.008928571428571428,0.023622779563076703,0.0,0.0625,7
gated,prefix-all,80,101,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,101,err_other_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,101,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,101,err_source_only_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,101,eval_acc,0.9999720981078488,7.382146774005404e-05,0.999804686754942,1.0,7
gated,prefix-all,80,101,eval_error_rate,2.7901785714285717e-05,7.382118613461469e-05,0.0,0.0001953125,7
gated,prefix-all,80,101,mem_noise_entries,80.0,0.0,80.0,80.0,7
gated,prefix-all,80,101,mem_sep_entries,1.0,0.0,1.0,1.0,7
gated,prefix-all,80,101,mem_source_entries,20.0,0.0,20.0,20.0,7
gated,prefix-all,80,101,source_survival_rate,1.0,0.0,1.0,1.0,7
gated,prefix-all,80,102,acc_mean_tail,0.9961008985042572,0.0005674130895593344,0.9952437579631804,0.9968437546491624,7
gated,prefix-all,80,102,attn_entropy,0.07857338954428474,0.030148407717840314,0.0442305041942745,0.1371150212362408,7
gated,prefix-all,80,102,attn_mass_noise,0.27421013452112675,0.025099109756189057,0.243758893571794,0.3003499805927276,7
gated,prefix-all,80,102,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,102,attn_mass_sep,0.04609169932414906,0.007415335996316293,0.0309290121076628,0.05026201531291,7
gated,prefix-all,80,102,attn_mass_source,0.6796981926475253,0.027656869012917046,0.6496556289494038,0.7062143795192242,7
gated,prefix-all,80,102,err_both_source_and_noise_rate,0.008928571428571428,0.023622779563076703,0.0,0.0625,7
gated,prefix-all,80,102,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,102,err_other_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,102,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,102,err_source_only_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,102,eval_acc,0.9999720981078488,7.382146774005404e-05,0.999804686754942,1.0,7
gated,prefix-all,80,102,eval_error_rate,2.7901785714285717e-05,7.382118613461469e-05,0.0,0.0001953125,7
gated,prefix-all,80,102,mem_noise_entries,80.0,0.0,80.0,80.0,7
gated,prefix-all,80,102,mem_sep_entries,1.0,0.0,1.0,1.0,7
gated,prefix-all,80,102,mem_source_entries,20.0,0.0,20.0,20.0,7
gated,prefix-all,80,102,source_survival_rate,1.0,0.0,1.0,1.0,7
gated,prefix-all,80,120,acc_mean_tail,0.9961008985042572,0.0005674130895593344,0.9952437579631804,0.9968437546491624,7
gated,prefix-all,80,120,attn_entropy,0.07857338954428474,0.030148407717840314,0.0442305041942745,0.1371150212362408,7
gated,prefix-all,80,120,attn_mass_noise,0.27421013452112675,0.025099109756189057,0.243758893571794,0.3003499805927276,7
gated,prefix-all,80,120,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,120,attn_mass_sep,0.04609169932414906,0.007415335996316293,0.0309290121076628,0.05026201531291,7
gated,prefix-all,80,120,attn_mass_source,0.6796981926475253,0.027656869012917046,0.6496556289494038,0.7062143795192242,7
gated,prefix-all,80,120,err_both_source_and_noise_rate,0.008928571428571428,0.023622779563076703,0.0,0.0625,7
gated,prefix-all,80,120,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,120,err_other_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,120,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,120,err_source_only_rate,0.0,0.0,0.0,0.0,7
gated,prefix-all,80,120,eval_acc,0.9999720981078488,7.382146774005404e-05,0.999804686754942,1.0,7
gated,prefix-all,80,120,eval_error_rate,2.7901785714285717e-05,7.382118613461469e-05,0.0,0.0001953125,7
gated,prefix-all,80,120,mem_noise_entries,80.0,0.0,80.0,80.0,7
gated,prefix-all,80,120,mem_sep_entries,1.0,0.0,1.0,1.0,7
gated,prefix-all,80,120,mem_source_entries,20.0,0.0,20.0,20.0,7
gated,prefix-all,80,120,source_survival_rate,1.0,0.0,1.0,1.0,7
gated,source-only,40,10,acc_mean_tail,0.5517991187572479,0.018561852844717813,0.5352312623262405,0.5892312611341477,7
gated,source-only,40,10,attn_entropy,0.05923092095015035,0.03552983096787366,0.0140112776425667,0.1089644669555127,7
gated,source-only,40,10,attn_mass_noise,0.0,0.0,0.0,0.0,7
gated,source-only,40,10,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,source-only,40,10,attn_mass_sep,0.0,0.0,0.0,0.0,7
gated,source-only,40,10,attn_mass_source,1.0,0.0,1.0,1.0,7
gated,source-only,40,10,err_both_source_and_noise_rate,0.874147615613205,0.009606015410729609,0.8597656178074721,0.8906357597594411,7
gated,source-only,40,10,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,10,err_other_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,10,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,10,err_source_only_rate,0.12585238438679494,0.009606015410729649,0.1093642402405587,0.1402343821925278,7
gated,source-only,40,10,eval_acc,0.5767299229545253,0.02425296379742254,0.5468750111758709,0.6193359456956387,7
gated,source-only,40,10,eval_error_rate,0.42327008928571425,0.024252965522009777,0.3806640624999999,0.453125,7
gated,source-only,40,10,mem_noise_entries,0.0,0.0,0.0,0.0,7
gated,source-only,40,10,mem_sep_entries,0.0,0.0,0.0,0.0,7
gated,source-only,40,10,mem_source_entries,10.0,0.0,10.0,10.0,7
gated,source-only,40,10,source_survival_rate,0.5,0.0,0.5,0.5,7
gated,source-only,40,15,acc_mean_tail,0.7506884051220758,0.028721552569308532,0.7035375120639801,0.7726562632322311,7
gated,source-only,40,15,attn_entropy,0.08703894111593916,0.052615590826009195,0.0492093218490481,0.1664513135328889,7
gated,source-only,40,15,attn_mass_noise,0.0,0.0,0.0,0.0,7
gated,source-only,40,15,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,source-only,40,15,attn_mass_sep,0.0,0.0,0.0,0.0,7
gated,source-only,40,15,attn_mass_source,1.0,0.0,1.0,1.0,7
gated,source-only,40,15,err_both_source_and_noise_rate,0.8675818611804588,0.0233351190715694,0.8449643734384112,0.9136903872972748,7
gated,source-only,40,15,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,15,err_other_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,15,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,15,err_source_only_rate,0.1324181388195412,0.02333511907156945,0.086309612702725,0.1550356265615888,7
gated,source-only,40,15,eval_acc,0.7626116201281548,0.022871267491262743,0.7146484516561031,0.7812500111758709,7
gated,source-only,40,15,eval_error_rate,0.23738839285714278,0.02287126808585607,0.2187499999999999,0.2853515625,7
gated,source-only,40,15,mem_noise_entries,0.0,0.0,0.0,0.0,7
gated,source-only,40,15,mem_sep_entries,0.0,0.0,0.0,0.0,7
gated,source-only,40,15,mem_source_entries,15.0,0.0,15.0,15.0,7
gated,source-only,40,15,source_survival_rate,0.75,0.0,0.75,0.75,7
gated,source-only,40,20,acc_mean_tail,0.9964901830979755,0.0005952471797940787,0.9957250069379806,0.99740625166893,7
gated,source-only,40,20,attn_entropy,0.03691500654843231,0.01262636538432478,0.0243564860429614,0.062936603790149,7
gated,source-only,40,20,attn_mass_noise,0.0,0.0,0.0,0.0,7
gated,source-only,40,20,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,source-only,40,20,attn_mass_sep,0.0,0.0,0.0,0.0,7
gated,source-only,40,20,attn_mass_source,1.0,0.0,1.0,1.0,7
gated,source-only,40,20,err_both_source_and_noise_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,20,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,20,err_other_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,20,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,20,err_source_only_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,20,eval_acc,1.0,0.0,1.0,1.0,7
gated,source-only,40,20,eval_error_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,20,mem_noise_entries,0.0,0.0,0.0,0.0,7
gated,source-only,40,20,mem_sep_entries,0.0,0.0,0.0,0.0,7
gated,source-only,40,20,mem_source_entries,20.0,0.0,20.0,20.0,7
gated,source-only,40,20,source_survival_rate,1.0,0.0,1.0,1.0,7
gated,source-only,40,25,acc_mean_tail,0.9964901830979755,0.0005952471797940787,0.9957250069379806,0.99740625166893,7
gated,source-only,40,25,attn_entropy,0.03691500654843231,0.01262636538432478,0.0243564860429614,0.062936603790149,7
gated,source-only,40,25,attn_mass_noise,0.0,0.0,0.0,0.0,7
gated,source-only,40,25,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,source-only,40,25,attn_mass_sep,0.0,0.0,0.0,0.0,7
gated,source-only,40,25,attn_mass_source,1.0,0.0,1.0,1.0,7
gated,source-only,40,25,err_both_source_and_noise_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,25,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,25,err_other_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,25,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,25,err_source_only_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,25,eval_acc,1.0,0.0,1.0,1.0,7
gated,source-only,40,25,eval_error_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,25,mem_noise_entries,0.0,0.0,0.0,0.0,7
gated,source-only,40,25,mem_sep_entries,0.0,0.0,0.0,0.0,7
gated,source-only,40,25,mem_source_entries,20.0,0.0,20.0,20.0,7
